,Bleu_3,ROUGE_L,epoch,train_loss,train_word_accy,test_loss,accy_calc_time,test_word_accy,CIDEr,Bleu_4,Bleu_1,Bleu_2,train_time
0,0.27534011615779813,0.48292904329212344,0,4.650517464631022,0.04490965463210967,8.620812244415283,5.783333333333333,0.1622710561216781,0.5114407574038953,0.17628482198764278,0.6439008653408107,0.425483687017571,69.76666666666667
1,0.28599275511689853,0.4901880233282841,1,3.7019452387952003,0.04886817149154561,8.63461703300476,6.766666666666667,0.16573146965929708,0.5616897252293053,0.18951530327128852,0.6531281069337436,0.43536053919721335,66.4
2,0.30129552566231543,0.49710150531344277,2,3.448685789571225,0.026558976224527766,8.610310802459717,6.233333333333333,0.16861334722619029,0.6071404819081948,0.20488144753200593,0.6605229077122194,0.44739072060391083,67.73333333333333
3,0.30334183556026484,0.49708041749546955,3,3.307282000648586,0.0291427562618809,8.613455600738526,6.883333333333334,0.1676831829561302,0.6263914704563522,0.20529180235223268,0.661610936634017,0.450623904591237,68.0
4,0.3061875472453286,0.49951141676328864,4,3.2108592856593186,0.03737468213576236,8.614801568984985,6.3,0.16380830799724522,0.6297877548335068,0.20785850631937122,0.6621928480439998,0.45260567492978354,68.05
5,0.316531386515661,0.5032755533335403,5,3.1374915827720016,0.04426010597257838,8.61475742340088,6.9,0.17004709048099562,0.659454003418379,0.21777264054185486,0.6700067049094712,0.4628509154669149,68.08333333333333
6,0.3198607242893618,0.5092722230947777,6,3.0793483688677714,0.04965800245137376,8.614976854324341,6.333333333333333,0.16925818218494176,0.6688861989337805,0.22094832588170096,0.6766003387748138,0.4666740651306854,68.06666666666666
7,0.319147815626134,0.5083914818276607,7,3.030407848867398,0.054204991672224465,8.617328472137451,6.883333333333334,0.16761917568748738,0.673323146285627,0.21875334683012743,0.6793505458454455,0.4687326426820607,67.81666666666666
8,0.3251306081297292,0.5116183510771966,8,2.9601455771176033,0.05396038927149499,8.644332218170167,6.3,0.1711460659067636,0.6836406498240989,0.22616714388936987,0.6791303705890913,0.4709094695615095,68.01666666666667
9,0.3340313849741237,0.5181850696110347,9,2.8546580472880514,0.060479503923743495,8.635260162353516,6.916666666666667,0.1723848811080927,0.7266691669603992,0.2320657265859871,0.689347066530778,0.4830176020593092,68.3
10,0.35335105227384545,0.5248759553631717,10,2.7841000221307994,0.05660970373091477,8.640112810134887,6.366666666666666,0.17411756799892478,0.7717075183709113,0.25033637522771746,0.7022618000860438,0.5008267721737097,68.16666666666667
11,0.34803090463835207,0.5243372638352964,11,2.722880706362038,0.046162536066222754,8.632721195220947,6.883333333333334,0.1803273173767514,0.7689585847920838,0.2444593596726989,0.6979189809671796,0.49532920056861107,67.46666666666667
12,0.3500560881363918,0.5264225444577836,12,2.666959930602576,0.03491171725745725,8.63426254272461,6.316666666666666,0.17415815425003786,0.7769523973016407,0.24532128766247663,0.7024090172388261,0.4987683432938374,67.65
13,0.34532726259732244,0.5238070187846815,13,2.614477626643976,0.027425932728692842,8.643065242767333,6.95,0.1723489932885906,0.7612136900525229,0.2416511455463781,0.6967762990898086,0.49356775823015514,68.45
14,0.3519246776510552,0.5285198025978414,14,2.564731501522889,0.026192518435828576,8.639686374664306,6.283333333333333,0.17654175768778357,0.7873511394121929,0.2483442349891683,0.7018630136986174,0.4999337674863085,67.43333333333334
15,0.3517251916860466,0.5229990160372954,15,2.517242197009808,0.029132502576795644,8.637172985076905,6.933333333333334,0.1747347535856607,0.7900007699445174,0.24962520576663008,0.6986887584352756,0.49861263352869134,68.13333333333334
16,0.35379336871509043,0.5267301262279496,16,2.424029488639293,0.04353967314224031,8.628511085510254,6.216666666666667,0.17522013846877732,0.7953234361669093,0.24919717727110044,0.7016835264095045,0.5017259330633111,66.76666666666667
17,0.35815245308465143,0.5265383414197198,17,2.3912207752019037,0.04919985591343393,8.625325355529785,6.95,0.1775969604761024,0.8008003533567833,0.2548869319684473,0.7009460824836833,0.5033277278001713,68.05
18,0.35176242836988597,0.5248631936619491,18,2.3652414263399533,0.05315852137700155,8.625853052139282,6.333333333333333,0.1694852508119205,0.7892914778578235,0.24852529556037622,0.6970660817109826,0.49860262294324276,68.03333333333333
19,0.346287050452445,0.5214150542930543,19,2.3415565059338643,0.05687481350181475,8.631148223876954,6.816666666666666,0.1723917504962487,0.7747571005468862,0.24489779275001347,0.6925101917697905,0.4918474194468811,67.01666666666667
20,0.3458522226496916,0.5186941021386849,20,2.3190297208206903,0.05880310071436978,8.623339786529542,6.366666666666666,0.17274178640450383,0.7763013484315053,0.24344585992790854,0.6934779031284729,0.4929912199819121,67.08333333333333
21,0.34832552352609014,0.5208123781851444,21,2.297440805586691,0.059913322182079294,8.617182378768922,6.95,0.17613157628660983,0.7832369263430908,0.24670351930029444,0.6944723434560967,0.4951442368714673,66.91666666666667
22,0.3433811879299156,0.5179055107646322,22,2.276670161013254,0.06001199532550843,8.6190927028656,6.3,0.172004844733035,0.7678369835452531,0.24173530999480922,0.6917780699831856,0.4900405067158344,67.48333333333333
23,0.34179793792963215,0.5146220683173278,23,2.257165278256308,0.05714007187684641,8.609294109344482,6.933333333333334,0.1734424631518798,0.7616294899217965,0.24006458892838192,0.6916019498452229,0.48845837316332236,67.6
24,0.3415636060585985,0.5153460715080922,24,2.188943417852996,0.041714963009459545,8.602099456787109,6.333333333333333,0.1745614182067995,0.7667513171562292,0.23907009298277995,0.6901111782698557,0.48909703306479985,67.91666666666667
