,train_word_accy,train_loss,ROUGE_L,test_loss,Bleu_2,Bleu_1,CIDEr,test_word_accy,accy_calc_time,Bleu_4,train_time,epoch,Bleu_3
0,0.13287007481326404,3.768043358405189,0.5091326145372105,6.228690939749073,0.47189611939788195,0.6812271434376145,0.6649696780856379,0.1749103822009795,6.316666666666666,0.2158047309886105,144.5,0,0.31966385024810945
1,0.17702912997630657,3.2287392386155274,0.5093569264134213,6.358932809201543,0.4852398945273104,0.6886498779055551,0.7241734421542517,0.17734701762047939,7.1,0.23140556839145604,145.48333333333332,1,0.33506270373346836
2,0.1926064094745239,3.0846042696188793,0.5213636220133412,6.549319261562324,0.49507222999370226,0.6970980567012095,0.7552154375112285,0.17628990566987815,6.083333333333333,0.24120888488534292,149.23333333333332,2,0.34570903373939293
3,0.20269365793231023,3.003330243939077,0.5173843521993632,6.72777111658793,0.4848277704180217,0.6823664560597236,0.7497550603761225,0.16972923945176027,6.1,0.2368818347718542,150.21666666666667,3,0.33887689459291587
4,0.20972025569421313,2.949087391085267,0.5263881014658583,6.697422451601771,0.49958475625595367,0.704388587458002,0.7756737748310903,0.1750328470841896,6.066666666666666,0.2455068500697551,150.05,4,0.3502227030445688
5,0.21553142026318386,2.907707209494293,0.5223470530157767,6.685313270477478,0.5047919628058031,0.7068410081485559,0.7813105663286576,0.18087052859516894,6.116666666666666,0.2500159645188346,150.38333333333333,5,0.35505829825022245
6,0.22035823106396993,2.8733472789373997,0.5169628294681259,6.706155081708988,0.49324157164147114,0.6963198255770112,0.7649929875795544,0.18131480922178597,6.083333333333333,0.23946679906162627,150.76666666666668,6,0.3439678203426261
7,0.22362737335658692,2.8434747811517824,0.5207420070900576,6.746459556910806,0.49719153396719634,0.7014363382558096,0.7822579701396352,0.17817465661190413,6.083333333333333,0.24345922058528197,149.9,7,0.34772257372664006
8,0.2166841425125511,2.863194390983435,0.5240701427360829,6.701503282535576,0.5036802976559733,0.7023342670401364,0.7963640686893433,0.18144991847780412,6.133333333333334,0.2528079071718379,155.5,8,0.35654886693320287
9,0.2273979059894598,2.7682316937099998,0.5358215618577481,6.724174790753576,0.5207490461753275,0.715405730615915,0.8378592321449434,0.185261569416499,6.116666666666666,0.266967567388025,156.03333333333333,9,0.37319839319212
10,0.23090971882909456,2.710387457005791,0.5356258938792,6.851876009010269,0.521892791431117,0.7154314515387172,0.8506902163337098,0.18430917679492997,6.3,0.266757655718088,156.05,10,0.3729633291275917
11,0.23222783747701095,2.6616270133364077,0.5429794179392509,6.708869387289721,0.5264326833713573,0.7207823418493601,0.8811087167649881,0.18377731722522705,6.116666666666666,0.2711215443120252,156.05,11,0.3777434894325445
12,0.22759213158955302,2.6188513841847465,0.5431413008412739,6.771959734534075,0.5308532341587225,0.7208362549359575,0.8860845057177926,0.18914973235111507,6.083333333333333,0.2779646389908925,159.3,12,0.3834818253436925
13,0.2213668073056169,2.5803706654172758,0.5424294550200465,6.81160973217673,0.5323468361733638,0.7258513759423493,0.8856426001239528,0.18532526475037822,6.083333333333333,0.2725153211788847,161.11666666666667,13,0.381215884659596
14,0.21058958986448492,2.5455277475571454,0.5391056328050259,6.843371252813739,0.528097388299431,0.7231705069124291,0.891134541559147,0.18874849175492694,6.1,0.2714310743759135,156.21666666666667,14,0.37856373477112115
15,0.1990637048079975,2.5133241554388035,0.5442375563204829,6.876263125927863,0.5307313287020979,0.7227059489257485,0.9075129632791297,0.18653102404573735,6.116666666666666,0.27519160637396484,156.18333333333334,15,0.3824384235080729
16,0.14117407369100565,2.4202306833738176,0.5493455281588574,7.011032007411568,0.5357226521797634,0.7303527768075312,0.9117550705035106,0.1852261862828964,6.216666666666667,0.27902287933684544,153.31666666666666,16,0.38643576155221276
17,0.1196012118964146,2.391263277455227,0.5442481607771279,7.026012858944739,0.5340433567943663,0.7255242173656098,0.9106651725945707,0.18547208173004218,6.1,0.28051842107425357,155.73333333333332,17,0.38731981708516444
18,0.10588103823168216,2.3723186558324834,0.5446589042114136,7.083621330603868,0.5334032052023602,0.7264555819564804,0.9021641744313487,0.1870456491446032,6.116666666666666,0.27782834579631766,155.93333333333334,18,0.38519423819565707
19,0.09836018312784355,2.3555070826127547,0.5440816639264662,7.12235312690278,0.5280032862700303,0.7211161909619002,0.8943848283433395,0.1810451816321739,6.2,0.27591325234763675,156.08333333333334,19,0.38146226708377484
20,0.08813176074497034,2.3409055949646356,0.5431589723837588,7.112890444829793,0.5306122390550894,0.7243546164446353,0.8904832937963499,0.1861283156052242,6.166666666666667,0.273349435569449,156.58333333333334,20,0.38093223434978296
21,0.0812610487171897,2.3267618592142445,0.5420163887625767,7.136541821999464,0.532798957615053,0.7232653511594843,0.8964119285536933,0.18838560204150157,6.183333333333334,0.27738881496856677,156.55,21,0.3839759480977169
22,0.07623035304775186,2.3135875112786604,0.5374160145038658,7.2917985916137695,0.5220003502168601,0.7139951696961864,0.8716711568515606,0.18184569852693885,6.116666666666666,0.2648273461955226,155.95,22,0.3727322846903737
23,0.0698128836215659,2.3012459809679426,0.5432726932509727,7.244891025349052,0.5328561053339307,0.7225986739968088,0.909728551365449,0.18413226473108524,6.116666666666666,0.27752716623364293,156.23333333333332,23,0.3850392086877742
24,0.05429133067272496,2.230014007580481,0.5477474837310874,7.307542626729268,0.5387821056572292,0.7278998700799516,0.9280680636609361,0.18542856661443327,6.116666666666666,0.2819094043095492,156.88333333333333,24,0.38998756093237946
