,train_loss,epoch,accy_calc_time,Bleu_4,train_word_accy,test_word_accy,ROUGE_L,Bleu_2,CIDEr,Bleu_1,train_time,test_loss,Bleu_3
0,4.1974731907840335,0,6.333333333333333,0.1950463987342405,0.049517274338681895,0.1718195129340088,0.48680330168729596,0.441348934409036,0.5746019771776281,0.6507346602555383,69.4,6.326170887947082,0.29361593578427875
1,3.526361890525178,1,6.733333333333333,0.19937550942229584,0.03094383833772607,0.1682866431952563,0.49757395408323346,0.44717786574945345,0.6175633637599984,0.6621574493860124,70.48333333333333,6.524549350738526,0.29822635628372435
2,3.3235714602870217,2,6.9,0.2144510744855364,0.0293580836486713,0.17126106603504174,0.5041857666859639,0.4650081737977422,0.6488565182634642,0.6747582763567138,71.1,6.57606315612793,0.3163018362045372
3,3.205501276522954,3,6.9,0.2168302399692397,0.039154811029042,0.1702681812071515,0.5075880121309735,0.4658967025997053,0.6761283293017983,0.6775434702182634,71.71666666666667,6.738970503807068,0.31787823438874124
4,3.121393979069204,4,6.916666666666667,0.2192028598337828,0.0471345556914788,0.16857023060796647,0.5088425794114577,0.4641405354634053,0.6700881694020044,0.6726263308800579,71.75,6.787021994590759,0.31801541134783284
5,3.0548793071155935,5,6.866666666666666,0.22082145378588555,0.05311289990857874,0.17159902529199228,0.5141249651241412,0.4782869714133568,0.6892884877389218,0.6932746819362414,71.28333333333333,6.937615690231323,0.32517163269821353
6,3.0001442203033526,6,6.366666666666666,0.22352237042794001,0.057632545969202094,0.17159415420796237,0.5093467099516155,0.4728101140552129,0.7011473615807865,0.6806650449033219,71.63333333333334,6.8915180540084835,0.32462115401599867
7,2.954822209590531,7,7.033333333333333,0.2172604059575057,0.05944269289707916,0.1746047746249349,0.5034800341684518,0.4638528333397228,0.6761485660290066,0.674070461111307,71.48333333333333,6.864499139785766,0.3162634969035382
8,2.917524114395808,8,6.416666666666667,0.2206225081516746,0.05790672059213397,0.17354969710191137,0.5035735412088949,0.46522808037844576,0.6811362796624869,0.6740078214171983,71.35,6.985814776420593,0.31933120404275467
9,2.811226184243979,9,6.933333333333334,0.2265224702183726,0.05964033639220078,0.17214836725433186,0.5144432682358403,0.47990829444334643,0.7177805676429827,0.6875748144601262,71.16666666666667,6.951619687080384,0.3300547513295822
10,2.747847820527766,10,6.983333333333333,0.24004641220951356,0.052676598177994464,0.17366126289918019,0.521212880748194,0.489557120074274,0.7549796216421586,0.6938835504437009,71.78333333333333,7.027259445190429,0.34233595285844387
11,2.696039333242499,11,7.0,0.24342572892717257,0.0437786285859663,0.17950483740929857,0.521979902492809,0.49130752553338564,0.755859392042122,0.6957740163658653,71.76666666666667,6.974868412017822,0.3448359272429373
12,2.649538940070271,12,6.983333333333333,0.24932611891032957,0.033768208464253574,0.17846682153317847,0.5239898498702215,0.49465171909467087,0.7709545695781673,0.6931213058356234,71.66666666666667,7.1976032018661495,0.3501426088229663
13,2.606824041465059,13,6.983333333333333,0.24008893305539494,0.026837608971409754,0.1785414074846172,0.5226606583215112,0.4927061804268846,0.7653230980710246,0.6963305615213633,71.76666666666667,7.103615884780884,0.34425789612328156
14,2.5676043466036025,14,6.45,0.25142095176077317,0.025635104337932927,0.18137254901960784,0.5242984305575733,0.50136013859314,0.7879543782514704,0.6998075809374228,71.85,7.219741339683533,0.35473181072212706
15,2.530874905918724,15,7.0,0.24608137937454636,0.027582858691736777,0.1805616203688153,0.5236427867937504,0.49953242491039196,0.7821784573213585,0.7022253752520219,73.65,7.2411817455291745,0.35040136828200896
16,2.4311077112869572,16,6.333333333333333,0.25086472894947254,0.04169088914012894,0.18356315683780708,0.525183813324892,0.5021768068643035,0.7932044375744447,0.7012177067140296,71.35,7.480016360282898,0.3551618064864813
17,2.406468991252667,17,6.983333333333333,0.2540126296131524,0.046086747959070855,0.18271592476699977,0.5266278460986134,0.5018190858604946,0.8002404055992143,0.7002337609747888,71.46666666666667,7.517855110168457,0.3566226979911907
18,2.3918013223377037,18,7.516666666666667,0.24665917975983223,0.04875671839279282,0.1763066903890698,0.5201424141628554,0.4943676440664062,0.7868239422910378,0.6924718915039528,72.25,7.59964165687561,0.3487946181249846
19,2.3768573395467287,19,6.95,0.247234334235971,0.0511334928747291,0.17848866498740554,0.5228336875184272,0.49585902473991317,0.7849100985864634,0.6953466669106353,72.01666666666667,7.6877896595001225,0.3498691114847381
20,2.3657976617249155,20,6.983333333333333,0.24842541646237906,0.0531472274629946,0.1778525748906092,0.5237476021723086,0.49857083973058314,0.7908713122018789,0.6994659300184034,71.51666666666667,7.681462712287903,0.3516251075051831
21,2.3536525742731995,21,6.966666666666667,0.24398544402047154,0.05469939761829186,0.17667488800523481,0.5199705948492107,0.4924920249327874,0.7801495170317677,0.6921852996579914,72.15,7.69851089477539,0.34595231056858594
22,2.3438653254656274,22,6.483333333333333,0.2396404214612525,0.05615616392105673,0.17870306477944023,0.517094716265646,0.4881108607470093,0.7586645296300152,0.6914027149321139,71.65,7.720361838340759,0.3412016152385757
23,2.333167293801943,23,7.083333333333333,0.24283308862416383,0.05720293142454298,0.17851564468181588,0.5186519192107069,0.4927611913557635,0.778841966806246,0.6931377415025884,71.05,7.766995825767517,0.3457705891746736
24,2.2850129837918263,24,6.833333333333333,0.2456536909380844,0.05968268856972684,0.1750083920778785,0.5204717269771584,0.49327022303338225,0.7871697842370831,0.6933644280872956,70.98333333333333,7.841752514839173,0.3475127049771454
