,Bleu_1,train_word_accy,accy_calc_time,train_loss,train_time,ROUGE_L,epoch,CIDEr,Bleu_4,test_loss,Bleu_2,test_word_accy,Bleu_3
0,0.6701906775625146,0.046355572833262595,5.766666666666667,4.250059162949632,65.9,0.491811554865467,0,0.5504402994287473,0.19178189142624155,6.315206398963928,0.44814063591068876,0.17219188439889105,0.29395641978521025
1,0.6678290701400413,0.04571583204642155,5.9,3.486219251145332,65.65,0.5008982369732349,1,0.6085513196710506,0.20546647740452695,6.632149319648743,0.4583982787327675,0.17050033579583612,0.3088009866665956
2,0.6735541768225003,0.025837057352872995,6.616666666666666,3.2749935620039414,66.16666666666667,0.506971555702924,2,0.6409038866191382,0.21139686321587695,6.725903615951538,0.4668512092752979,0.16686086765624736,0.3165618076060247
3,0.6755024601027493,0.030678579962694418,6.05,3.154909610011782,66.86666666666666,0.5080041563023251,3,0.6614697045346499,0.21251596644959628,6.696926145553589,0.464680214618136,0.16880517951736315,0.3148187675798668
4,0.6862322539178305,0.038567527500680605,6.466666666666667,3.072912328872445,66.28333333333333,0.5116844468050918,4,0.6732470710925172,0.2239166277597224,6.925375566482544,0.47766750261128477,0.1739049927616739,0.32703081431726655
5,0.6667835782322848,0.04520478243760707,6.066666666666666,3.0118485043139342,66.98333333333333,0.5052578664580165,5,0.6637611328328173,0.21561165800108542,6.731256723403931,0.4614942643039455,0.17474354439334985,0.3161530163527505
6,0.6878355720502499,0.05018673595185702,6.533333333333333,2.96303616902098,66.45,0.5122629482093394,6,0.681149746059326,0.22175910938109605,6.846472067832947,0.4753370176615988,0.1735527446059524,0.3257209318976756
7,0.6829199970120139,0.05412311079567408,6.033333333333333,2.9226289077449032,66.85,0.511187729368333,7,0.6910510050866451,0.22642201147261215,6.884943690299988,0.4734066913019206,0.1737005625997145,0.32627214593810355
8,0.6890208052800143,0.05440352679213611,6.5,2.903804710346939,66.51666666666667,0.5143357260211947,8,0.7127059022496531,0.23275088915785488,6.8393553495407104,0.4830085047821077,0.17956459025192043,0.33496156335611393
9,0.6856653486634594,0.05957955730234759,5.366666666666666,2.8237076870446067,67.53333333333333,0.5171897226909031,9,0.7464435331676303,0.24198666485225978,6.790498299598694,0.4897212009671966,0.17567408651826963,0.34390990865949955
10,0.6991112598542187,0.05844347871572743,6.066666666666666,2.768617740902139,67.83333333333333,0.5263925174791632,10,0.762618938989868,0.24800102436632449,6.803597326278687,0.4991680409345745,0.18130759400013452,0.3521698434982998
11,0.701905668477132,0.05298836964623895,6.583333333333333,2.721151533530859,67.75,0.5246617530942389,11,0.7738628670487735,0.24701941324950927,6.841319770812988,0.5033435766775115,0.18001109001394652,0.3540272554376919
