,epoch,Bleu_1,Bleu_4,test_loss,CIDEr,ROUGE_L,Bleu_3,train_loss,accy_calc_time,test_word_accy,train_word_accy,Bleu_2,train_time
0,0,0.6537059079143636,0.19403814999130975,6.335843720436096,0.5530516276859805,0.4917105321118475,0.29334595012187414,4.240782519409537,6.216666666666667,0.15935540128114833,0.049785207588083615,0.4414770536058744,63.95
1,1,0.6768627898571273,0.2141303283115778,6.4127230024337765,0.630949174499045,0.5069259031477631,0.31401035465468147,3.5665051765601823,6.283333333333333,0.17341583245300737,0.03580571971358634,0.4621146315937086,65.6
2,2,0.6710749406578376,0.21235248995399802,6.5725395250320435,0.6321154411590084,0.4977204999298735,0.3119461095224233,3.3573679171719597,6.6,0.1718655462184874,0.026909236162874883,0.4611367461180336,76.63333333333334
3,3,0.6765227675931277,0.21400532256006052,6.659887924194336,0.6584685969104331,0.5021472162087489,0.3145485150716718,3.239188620187704,7.0,0.16733423089868732,0.03438610444373907,0.46515106549985014,69.83333333333333
4,4,0.6823566547831127,0.21860075436148887,6.805035886764526,0.6664298890133574,0.5078761847087134,0.31979497892728986,3.1557181640104814,6.216666666666667,0.16927425052992834,0.04206269667756827,0.4698929854640489,69.35
5,5,0.670775428740378,0.2130616222041621,6.837919144630432,0.6697707864118806,0.5018563643951159,0.3122273815507767,3.0905711878114115,6.55,0.16950318898959382,0.04815145376449931,0.4611762781674788,67.7
6,6,0.6782940584470942,0.22494020704563658,6.9943445205688475,0.6754109187329366,0.5033783657086068,0.32434238431318324,3.0394505797922347,6.05,0.17488345574672168,0.05272103081336391,0.4712789417411709,67.15
7,7,0.6778786552905879,0.22090772233242395,6.929641370773315,0.6865349400196725,0.5096846617930535,0.32131077165843575,2.996156188627312,6.55,0.1713275528243118,0.05588837927578668,0.47050244730421115,67.38333333333334
8,8,0.677158779429638,0.22603231137614876,6.921606993675232,0.6940859056864546,0.5115882810091991,0.32511724802781194,2.9404416755565164,6.616666666666666,0.1689136809464424,0.05506466657393769,0.47072097747207475,67.71666666666667
9,9,0.6967602996254552,0.23632470047571727,6.9315706062316895,0.7315398284579734,0.5183435242814595,0.34020144953071657,2.8383409909621236,6.516666666666667,0.1766993887756992,0.06019358957440966,0.48962688758136325,66.45
10,10,0.7025356283546048,0.24945650476379846,7.070162439346314,0.7702773852260428,0.5282195847506607,0.3528632909390711,2.775894532451983,6.5,0.1737708766516869,0.05798979030173772,0.5000642786756008,66.56666666666666
11,11,0.6980044179864335,0.24827332280091138,7.074180874824524,0.7654626810269858,0.5223415458609828,0.3515725765216296,2.7238975967439214,6.6,0.17566612838110618,0.05016043302055136,0.5002654649953988,67.73333333333333
12,12,0.6930221610660362,0.24714379680338178,7.07846595287323,0.7668247752853493,0.5263153960235695,0.3480814109123955,2.6780250258710883,6.466666666666667,0.17237904918638433,0.04126602992768329,0.4929887139280378,66.43333333333334
13,13,0.7019552710926821,0.24360868426136853,7.0370387887954715,0.7729548314080537,0.5258369473463111,0.34821464697290555,2.6365572543451457,6.5,0.17735677936212021,0.03295578967641153,0.49760092140795903,66.51666666666667
14,14,0.7010484661328668,0.25302454109586214,7.170043287277221,0.8025954513730319,0.5288399586346142,0.35647350502511876,2.5985226039852805,6.516666666666667,0.17397013518290938,0.027938022566429018,0.5030901022675485,66.76666666666667
15,15,0.7062025363809677,0.2563799616100956,7.155526795387268,0.8013043839996706,0.5301806245535291,0.3602607240957765,2.5630506099269965,6.5,0.1783662085419537,0.026204703974625546,0.5071211427787674,66.68333333333334
16,16,0.6991706226794855,0.24840784950330397,7.368524603843689,0.7871733078737998,0.5238006397959687,0.35171919645328,2.4815439670778225,5.95,0.17353247538725178,0.0322979191855067,0.4990778836494619,66.41666666666667
17,17,0.7042897327707325,0.25139415310031454,7.39874119758606,0.8001028726843812,0.5276834012592553,0.35626479950948264,2.4584108030280496,6.483333333333333,0.17611298638050615,0.03570808679907889,0.5040028250501326,66.71666666666667
18,18,0.7038277246406175,0.25572330438317514,7.417329297065735,0.8109970439751834,0.5270533255960912,0.35918397293580495,2.4418708234367807,6.45,0.17649633070760115,0.03818085955007424,0.5059386102972621,66.38333333333334
19,19,0.7029905098212186,0.25763442408142506,7.450615134239197,0.8056162977678424,0.5303004106474235,0.3596740009232721,2.427191947270366,6.483333333333333,0.1776265048120452,0.0407469556957586,0.5048341842414633,67.06666666666666
20,20,0.6989936967820285,0.2522458907410326,7.443749480247497,0.7984200059594007,0.5249562217343345,0.3547520040906945,2.414138390653868,6.5,0.1771885521885522,0.04278372392443302,0.5009715381730754,66.58333333333333
21,21,0.6998759741581848,0.25267494784409095,7.47486376285553,0.7982596644035629,0.5263166224722783,0.35550683693211466,2.4009375282861654,6.483333333333333,0.17480248781307783,0.0448738410363771,0.5018297908909369,66.83333333333333
22,22,0.70223329641933,0.25520011773817514,7.458446679115295,0.8077093130013865,0.525319996623937,0.3586255415446958,2.3891374732368518,6.516666666666667,0.178334623540103,0.046916553430318336,0.5055179319716222,66.71666666666667
23,23,0.7001497864156536,0.2523241452542104,7.464369006156922,0.8003304475221639,0.5242878344176913,0.35592577228833416,2.376492725150941,6.483333333333333,0.1791380933171978,0.049167014400334774,0.5030047348806707,66.78333333333333
24,24,0.7008655616942782,0.25348850390581534,7.53216561794281,0.8070383344323337,0.5254704551560125,0.35641218291849536,2.328934185608025,6.066666666666666,0.17642516618545626,0.05658503544505748,0.5029144110379701,66.51666666666667
