,Bleu_1,accy_calc_time,Bleu_2,Bleu_4,test_word_accy,train_word_accy,Bleu_3,ROUGE_L,CIDEr,train_loss,train_time,test_loss,epoch
0,0.6475591926633253,5.75,0.4416956962987623,0.1880301603894027,0.16184515219652984,0.042903944666954366,0.29108627145061555,0.49083148673139493,0.539532515468574,4.298746027992767,69.05,6.290608520507813,0
1,0.6520157788071683,5.866666666666666,0.4463421090028867,0.19839053334530854,0.16863219433524845,0.05374818257146967,0.2988459181353752,0.4961066827702979,0.5926109557521652,3.544481032313442,65.0,6.38404806137085,1
2,0.6848392661707566,6.516666666666667,0.4694490912205643,0.2148144229412965,0.16809976366470558,0.029986827729768736,0.31748551986865453,0.5095267146977273,0.6567445389267151,3.3367812741886484,65.53333333333333,6.514460349082947,2
3,0.6832181732134277,5.333333333333333,0.4776892427778918,0.22762006408644597,0.17310114359603015,0.02606724515283043,0.3296656913136111,0.5125816993299124,0.6726012869080334,3.2157068870179124,66.3,6.75271589756012,3
4,0.679107093441552,6.016666666666667,0.46942106865687816,0.21661535688780395,0.1731791132344313,0.03145592817546225,0.31992708392786456,0.5085036745530462,0.6593544157573913,3.1319954071230103,66.2,6.724783911705017,4
5,0.6819791959516319,6.483333333333333,0.4737706916400139,0.2217310606992348,0.1726489409946756,0.03747172063374313,0.32426965230429344,0.5118613926871003,0.6767578897339749,3.0689736946641295,66.01666666666667,6.715776200294495,5
6,0.6841192917054859,5.4,0.4773338269960898,0.22738940849196845,0.17028473344103393,0.042699911194170916,0.32883517866749273,0.5141346560157087,0.6944238372048694,3.0190053375442787,66.55,6.862982544898987,6
7,0.6822875596109669,6.033333333333333,0.47531666845838744,0.2265259071489485,0.17295112214431882,0.047354787014614326,0.3269753911494135,0.5111392629232622,0.6909474526019974,2.977864628225328,66.66666666666667,6.864955382347107,7
8,0.6812766913913112,6.483333333333333,0.4781298134429025,0.22720302443274984,0.1752979342107475,0.047842059962361544,0.3297489204924511,0.5082388254999196,0.6793583140612937,2.959269470486721,65.85,6.785487060546875,8
9,0.6617092817026187,5.35,0.44616099047629604,0.2067085361866854,0.16512418388638353,0.056196584244871076,0.30272481386766775,0.49860497709250395,0.6269899572244656,2.8728117870211287,65.78333333333333,7.104313697814941,9
10,0.7049071003834411,6.033333333333333,0.502939364615568,0.24963627452456594,0.17660643247252378,0.06040327000419658,0.3539891195768509,0.5263589699939697,0.78019449239699,2.8157936332505673,66.48333333333333,6.8783011054992675,10
11,0.7048396808670649,6.533333333333333,0.5034690688046518,0.24755731323444904,0.17567681113146352,0.05922677109376207,0.3533948803326051,0.5276957864695813,0.7745184068636559,2.766605004839211,66.23333333333333,6.895878129005432,11
12,0.708065183847038,5.383333333333334,0.5081012136768074,0.2551476866720806,0.17992392365435755,0.05129888927327824,0.3595741290404569,0.5306079207915416,0.807315700346885,2.7217767767851475,66.2,6.924202189445496,12
13,0.7031066822977597,6.016666666666667,0.5067432889386416,0.25611757183820194,0.17741448692152917,0.0436631631756584,0.360045477219412,0.5319410523420488,0.8034957907456324,2.680939094849845,66.38333333333334,6.9674155712127686,13
14,0.7156777907370346,6.5,0.5141913053653041,0.25688356974547555,0.17988770636051285,0.03565681837365261,0.3637291536474446,0.5351242624315796,0.8056406465861503,2.643493822161749,66.1,6.999125685691833,14
15,0.7042419702219177,5.4,0.5045944863757498,0.2523086509844792,0.1746119733924612,0.029585596574258674,0.3564374770811024,0.5287435992264773,0.7908730044361957,2.608417230691935,65.95,7.017238554954528,15
16,0.7079696851779661,5.966666666666667,0.5066163793693852,0.2523902875929098,0.1753885880044937,0.026433702941529625,0.3574539939961064,0.5293000452406043,0.8005325704064781,2.5346711219567064,65.78333333333333,7.202977828979492,16
17,0.7081622841081271,6.5,0.5087848696869707,0.2523817229298983,0.17608710262786478,0.029167870360133196,0.3585379764856895,0.5293473700323394,0.8012025507848494,2.5082046171257377,65.88333333333334,7.2327372312545775,17
18,0.7063700147710358,5.366666666666666,0.5070228106085435,0.25491308970990956,0.1763845455462524,0.031950036913266304,0.35949629120847115,0.5303997578917486,0.8075057485159229,2.488039335316509,66.03333333333333,7.251792116165161,18
19,0.7131622286782127,6.066666666666666,0.51417558105909,0.25918333609066196,0.17616849878325083,0.03460158043466114,0.365202360223097,0.5342658428894554,0.823742091157118,2.4706551920283926,66.8,7.325521521568298,19
20,0.7053435680646586,6.666666666666667,0.5066151592931255,0.25256507991998706,0.17634669497379904,0.037376911197737415,0.35778645320398517,0.5292274669288789,0.8063550830012651,2.453628902296418,66.83333333333333,7.383957405090332,20
21,0.70780551415796,5.35,0.5083204939510929,0.25525037993494165,0.17539034330085365,0.039786675796904515,0.36007521495968675,0.5283402098162944,0.8081791902671945,2.438230018645183,65.8,7.3386715269088745,21
22,0.7041896443243514,6.1,0.5012567550571811,0.24700403623576356,0.17378888664919706,0.042455160189309775,0.35178107832577404,0.525623269874162,0.7925659663056691,2.4227755445352406,66.11666666666666,7.391739311218262,22
23,0.7036613272311083,6.566666666666666,0.5034111584175969,0.2525337414682477,0.17546630818349856,0.0449295675857535,0.3561509101475497,0.5284662738924053,0.7976473132215133,2.4082457912988824,65.76666666666667,7.489264922142029,23
24,0.7064436502965644,5.35,0.5056075302231259,0.2509894426483031,0.17357108044972522,0.055112517104335554,0.3567410717442255,0.528077023278992,0.7993145621776252,2.352839297356063,66.2,7.517041325569153,24
