,Bleu_3,Bleu_2,test_word_accy,Bleu_4,Bleu_1,train_time,ROUGE_L,CIDEr,epoch,train_word_accy,accy_calc_time,train_loss,test_loss
0,0.2876987850016699,0.4404272550710229,0.16547550820887974,0.18758843666650188,0.6611741234713736,64.28333333333333,0.4859189077332363,0.5652274392871824,0,0.05028035655480936,6.25,4.163376492098802,5.730728969573975
1,0.3061340395008862,0.4566346179544006,0.16989449950362606,0.20586754737453253,0.6700320903785038,66.0,0.4981469169079541,0.6255726831643936,1,0.030158911314243052,6.416666666666667,3.510224791932506,5.678307771682739
2,0.30618846258567245,0.4537834592290337,0.16963144797901675,0.20677292126817703,0.6644862058133182,66.46666666666667,0.4987667572504596,0.6300304868211671,2,0.02918005589893017,6.483333333333333,3.3128094361718525,5.659168486595154
3,0.32132208195686157,0.4680688385248686,0.1711850758287478,0.22071052083017764,0.6734859675036804,66.7,0.5064637952433356,0.6712690153290816,3,0.038888809633352,6.5,3.1963638755355595,5.639579229354858
4,0.3188256254275389,0.46778238103780906,0.17097512538288062,0.21930365334686022,0.6788115861041133,67.41666666666667,0.5063184677759317,0.6727744212437985,4,0.046407881487610575,6.066666666666666,3.113134923490506,5.647693347930908
5,0.31609458637505616,0.46656217746380646,0.17148223299179985,0.21376754485631255,0.6813770405968794,66.73333333333333,0.5062990407955668,0.680235182733141,5,0.052657725453272325,6.533333333333333,3.049527044540365,5.662916159629821
6,0.32391973089499965,0.46768570435259,0.17023029080517735,0.2267208870733044,0.6746039082287132,66.75,0.5064177647134928,0.700165585894862,6,0.05694450883956817,6.016666666666667,2.9978997472736126,5.722137608528137
7,0.32327857392569603,0.47056664160683087,0.1722324878212666,0.22271054371035912,0.6805490446098619,67.38333333333334,0.5079018590894772,0.6931632974805896,7,0.05943778896073403,6.75,2.9551183159963705,5.711417951583862
8,0.32643720960266387,0.4742343541491487,0.1738443170161602,0.2258600667525353,0.6798924750980303,66.83333333333333,0.5107697876957865,0.6968848332372868,8,0.05785961308239445,6.516666666666667,2.9059130930837442,5.707602429389953
9,0.338024515482805,0.48374944156520594,0.18051397625214438,0.23841510523120077,0.6842056899213284,66.88333333333334,0.5164015605209635,0.7406616179004005,9,0.058864177012486314,6.55,2.7995311273270125,5.658095326423645
10,0.350758718970905,0.5002399476981318,0.1821945472904746,0.2468838073690842,0.7030989670109834,67.46666666666667,0.5255014484598381,0.7623751621198697,10,0.051134830311914126,6.566666666666666,2.7329859958742957,5.610105695724488
11,0.342418510461493,0.48934115751562024,0.18181971271239245,0.24001319394275836,0.6891802312734645,68.28333333333333,0.518402889019665,0.7560135984571833,11,0.040523603685858,6.666666666666667,2.676826769971048,5.62748547077179
12,0.3545464429619839,0.5052950927991205,0.18505218646172433,0.24777879633628813,0.7088969872736505,71.41666666666667,0.5249149243073303,0.7847994158534166,12,0.031322630269353904,6.85,2.62657696182288,5.60896014213562
13,0.34195843688171884,0.4902670309994186,0.17860501041037008,0.23925263557980608,0.6900651260125077,73.43333333333334,0.5183662483683944,0.7691905047511514,13,0.02598283800604165,6.666666666666667,2.580283861926248,5.699626984596253
14,0.3549380087183831,0.5019353071203536,0.1840861300361679,0.2518158590489654,0.7016924725619766,67.06666666666666,0.5274032919041645,0.7898428485536909,14,0.02595311717970757,6.6,2.5372279083844527,5.641465029716492
15,0.34439941407886515,0.49423121480763854,0.17950746545019947,0.24063251562443877,0.6977136157115511,67.46666666666667,0.5215904055813737,0.7710643389170089,15,0.02957355963959337,6.65,2.4968243402816084,5.662378277778625
16,0.3563168064403358,0.5036850428987728,0.18061969938701822,0.2529053439865268,0.7025092919617467,67.13333333333334,0.5274702397975738,0.807756056288538,16,0.04343104352198925,6.633333333333334,2.410132202024704,5.676161828041077
17,0.3579097094361237,0.5050662393801887,0.18096967862368196,0.2540850837319707,0.7044046038069813,68.03333333333333,0.5274949542500699,0.8001270606867865,17,0.048314323892810054,6.733333333333333,2.382372627190963,5.67090151309967
18,0.3506263015760033,0.4992460111149122,0.1815618548914959,0.2466036560285686,0.6993345098904203,66.76666666666667,0.5239163161587905,0.7911793108455822,18,0.0514898455824747,6.55,2.3613698839194357,5.676291522979736
19,0.3526586988690428,0.49945525007853436,0.17999798095366287,0.25020807033565123,0.6997369824716162,66.86666666666666,0.5253165137489337,0.7928977037033721,19,0.05426086682573253,6.55,2.342519303075213,5.680830240249634
20,0.3499643069113612,0.49714981593057855,0.1755041578291755,0.24718837278135847,0.6978934780608832,66.93333333333334,0.5221819269134805,0.7885510880100206,20,0.057147799291693266,6.85,2.325072086920069,5.728556270599365
21,0.3519794027789249,0.4990423353222707,0.17971180199418224,0.24958217407264663,0.7014459933547287,66.76666666666667,0.5233334029625919,0.7978175140314175,21,0.05867024862065645,6.583333333333333,2.308709421940641,5.6942453193664555
22,0.35103086608614165,0.49759603113855033,0.17853599475339263,0.2483374933077751,0.6975661140987841,67.01666666666667,0.5229664872282841,0.7879185618283912,22,0.059676447196196684,6.583333333333333,2.2933920027403736,5.716884207725525
23,0.34454586124466463,0.49161447774068473,0.17906312961719276,0.24191183500339708,0.6947734294541582,71.06666666666666,0.520303063578898,0.7719807205987828,23,0.060392273298452974,6.583333333333333,2.2789112194807046,5.709395813941955
24,0.3479966801890549,0.49490113231862676,0.17937815126050421,0.2449327573664251,0.6972360653928779,66.9,0.5210855192297184,0.7877044423420586,24,0.05485350010283406,6.566666666666666,2.2254019583207993,5.70374698638916
